API,excipient,API_percent,exc_percent,API_coated,API_coat_percent,exc_coated,exc_coat_percent,FF,FF_regime
4,11,25,75,1,50,0,0,16.45,4
4,22,100,0,0,0,0,0,1.18,1
4,22,75,25,0,0,1,100,1.752363333,1
4,22,75,25,0,0,0,0,2.155,2
4,22,0,100,0,0,0,0,2.35,2
4,22,50,50,0,0,0,0,2.3932,2
4,22,25,75,0,0,0,0,3.0968,2
4,22,25,75,1,1,0,0,3.9833,2
4,22,50,50,1,1,0,0,4.2667,3
4,22,50,50,0,0,1,100,4.312177667,3
4,22,25,75,1,75,0,0,4.5328,3
4,22,25,75,1,25,0,0,4.5681,3
4,22,50,50,1,25,0,0,4.9596,3
4,22,75,25,1,25,0,0,5.01,3
4,22,25,75,1,50,0,0,5.0926,3
4,22,75,25,1,1,0,0,5.18,3
4,22,25,75,1,100,0,0,5.4983,3
4,22,100,0,1,100,0,0,5.5,3
4,22,50,50,1,75,0,0,5.6966,3
4,22,75,25,1,75,0,0,5.7617,3
4,22,50,50,1,100,0,0,5.9974,3
4,22,75,25,1,100,1,100,6.076666,3
4,22,75,25,1,100,0,0,7.0836,3
4,22,25,75,0,0,1,100,7.869634333,3
4,22,75,25,1,50,0,0,8.9096,3
4,22,50,50,1,50,0,0,9.8286,3
4,22,25,75,1,100,1,100,11.35,4
4,22,0,100,0,0,1,100,15,4
4,22,50,50,1,100,1,100,16.73333,4
4,33,100,0,0,0,0,0,1.18,1
4,33,75,25,0,0,0,0,1.7475,1
4,33,75,25,0,0,1,100,1.750925333,1
4,33,75,25,1,50,0,0,2.3619,2
4,33,50,50,0,0,0,0,2.6848,2
4,33,25,75,0,0,0,0,3.2188,2
4,33,50,50,0,0,1,100,3.3925315,2
4,33,75,25,1,25,0,0,3.6634,2
4,33,75,25,1,1,0,0,4.09,3
4,33,75,25,1,75,0,0,4.5967,3
4,33,25,75,0,0,1,100,4.8,3
4,33,50,50,1,25,0,0,4.9246,3
4,33,50,50,1,75,0,0,5.06,3
4,33,75,25,1,100,0,0,5.1203,3
4,33,50,50,1,50,0,0,5.2435,3
4,33,100,0,1,100,0,0,5.5,3
4,33,50,50,1,1,0,0,5.57,3
4,33,50,50,1,100,0,0,6.0667,3
4,33,25,75,1,1,0,0,7.6167,3
4,33,25,75,1,25,0,0,9.1877,3
4,33,0,100,0,0,0,0,11,4
4,33,25,75,1,50,0,0,12.85,4
